0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:02:53 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 3770
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:03:21 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 3640
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:21:26 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:22:11 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2428
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:24:09 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:24:55 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:25:11 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2394
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:25:54 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2394
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:25:55 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2394
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:25:55 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2394
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:25:56 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2394
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:26:04 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:26:05 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:27:10 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2342
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:27:10 +0800] "GET /.....path_name...../ HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:27:29 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2320
0:0:0:0:0:0:0:1 - - [25/Jan/2020:15:27:29 +0800] "GET /.....path_name...../ HTTP/1.1" 404 733
